olv@facial-meaning		00:03:47.800	227.8	00:03:48.300	228.3	00:00:00.500	0.5	утверждение
olv@facial-meaning		00:03:49.580	229.58	00:03:50.280	230.28	00:00:00.700	0.7	повествование
olv@facial-meaning		00:03:51.810	231.81	00:03:52.300	232.3	00:00:00.490	0.49	утверждение
olv@facial-meaning		00:03:56.230	236.23	00:03:57.780	237.78	00:00:01.550	1.55	задумчивость
olv@facial-meaning		00:03:57.780	237.78	00:04:00.360	240.36	00:00:02.580	2.58	соображение
olv@facial-meaning		00:04:00.360	240.36	00:04:03.066	243.066	00:00:02.706	2.706	задумчивость
olv@facial-meaning		00:04:03.117	243.117	00:04:04.185	244.185	00:00:01.068	1.068	утверждение
olv@facial-meaning		00:04:05.391	245.391	00:04:06.336	246.336	00:00:00.945	0.945	вспоминание
olv@facial-meaning		00:04:07.013	247.013	00:04:08.216	248.216	00:00:01.203	1.203	утверждние 
olv@facial-meaning		00:04:11.374	251.374	00:04:12.383	252.383	00:00:01.009	1.009	сслыка на прошлые события
olv@facial-meaning		00:04:14.968	254.968	00:04:15.718	255.718	00:00:00.750	0.75	упоминание неловкого действия
olv@facial-meaning		00:04:16.363	256.363	00:04:19.093	259.093	00:00:02.730	2.73	вспоминание
olv@facial-meaning		00:04:19.150	259.15	00:04:19.688	259.688	00:00:00.538	0.538	начало утверждения
olv@facial-meaning		00:04:20.366	260.366	00:04:21.416	261.416	00:00:01.050	1.05	утверждение
olv@facial-meaning		00:04:22.301	262.301	00:04:23.901	263.901	00:00:01.600	1.6	задумчивость
olv@facial-meaning		00:04:24.950	264.95	00:04:25.783	265.783	00:00:00.833	0.833	утверждение
olv@facial-meaning		00:04:26.396	266.396	00:04:27.366	267.366	00:00:00.970	0.97	утверждение
olv@facial-meaning		00:04:27.881	267.881	00:04:28.416	268.416	00:00:00.535	0.535	приятные ассоциации
olv@facial-meaning		00:04:28.516	268.516	00:04:29.500	269.5	00:00:00.984	0.984	утверждение
